38	1	1
36	1	1
38	1	1
43	1	1
35	1	1
35	1	1
35	1	1
44	1	1
46	1	1
45	1	1
52	1	1
51	1	1
48	1	1
42	1	1
37	1	1
43	1	1
43	1	1
45	1	1
42	1	1
45	1	1
49	1	1
34	1	1
43	1	1
49	1	1
42	1	1
42	1	1
40	1	1
46	1	1
46	1	1
48	1	1
36	1	1
39	1	1
52	1	1
41	1	1
47	1	1
41	1	1
41	1	1
39	1	1
37	1	1
45	1	1
38	1	1
43	1	1
48	1	1
43	1	1
37	1	1
37	1	1
41	1	1
41	1	1
41	1	1
39	1	1
38	1	1
44	1	1
39	1	1
35	1	1
37	1	1
38	1	1
35	1	1
52	1	1
40	1	1
43	1	1
50	1	1
48	1	1
42	1	1
37	1	1
47	1	1
52	2	1
52	1	1
46	1	1
41	1	1
46	1	1
44	1	1
45	1	1
46	1	1
47	1	1
44	1	1
44	1	1
43	1	1
36	1	1
42	1	1
48	1	1
44	1	1
46	1	1
48	1	1
52	1	1
52	1	1
50	1	1
49	1	1
41	1	1
42	1	1
42	1	1
41	1	1
49	1	1
43	1	1
44	1	1
52	1	1
47	1	1
48	1	1
47	1	1
51	1	1
46	1	1
34	1	1
38	1	1
45	1	1
43	1	1
46	1	1
42	1	1
38	1	1
40	1	1
37	1	1
47	1	1
51	1	1
50	1	1
38	1	1
41	1	1
39	1	1
50	2	1
42	1	1
52	1	1
51	1	1
52	1	1
47	1	1
44	1	1
43	1	1
40	1	1
38	1	1
37	1	1
43	1	1
46	1	1
50	1	1
40	1	1
40	1	1
42	1	1
49	1	1
47	1	1
52	1	1
47	1	1
43	1	1
45	1	1
50	1	1
47	1	1
48	1	1
46	1	1
51	1	1
47	1	1
42	1	1
47	1	1
50	1	1
44	1	1
47	1	1
35	1	1
38	1	1
44	1	1
46	1	1
45	1	1
44	1	1
44	1	1
49	1	1
50	1	1
50	1	1
52	1	1
48	1	1
52	1	1
46	1	1
41	1	1
44	1	1
41	1	1
44	1	1
41	1	1
41	1	1
40	1	1
44	1	1
44	1	1
45	1	1
38	1	1
42	1	1
41	1	1
39	1	1
39	1	1
40	1	1
34	1	1
42	1	1
37	1	1
45	1	1
46	1	1
45	1	1
42	1	1
47	1	1
43	1	1
44	1	1
48	1	1
48	1	1
51	1	1
51	1	1
47	1	1
49	1	1
52	1	1
46	1	1
44	1	1
50	1	1
50	1	1
47	1	1
43	1	1
43	1	1
47	1	1
48	1	1
40	1	1
38	1	1
41	1	1
43	1	1
43	1	1
44	1	1
42	1	1
43	1	1
51	1	1
43	1	1
42	1	1
45	1	1
44	1	1
45	1	1
46	1	1
38	1	1
47	1	1
46	1	1
44	1	1
42	1	1
39	1	1
41	1	1
44	1	1
45	1	1
48	1	1
48	1	1
36	1	1
43	1	1
34	1	1
34	1	1
38	1	1
35	1	1
44	1	1
42	1	1
43	1	1
39	1	1
45	1	1
42	1	1
41	1	1
42	1	1
39	1	1
44	1	1
46	1	1
45	1	1
51	1	1
49	1	1
45	1	1
37	1	1
35	1	1
35	1	1
37	1	1
42	1	1
50	1	1
52	1	1
37	1	1
37	1	1
41	1	1
47	1	1
49	1	1
46	1	1
43	1	1
41	1	1
39	1	1
45	1	1
48	1	1
46	1	1
44	1	1
48	1	1
50	1	1
49	1	1
48	1	1
47	1	1
46	1	1
41	1	1
41	1	1
35	1	1
40	1	1
40	1	1
42	1	1
37	1	1
48	1	1
37	1	1
34	1	1
36	1	1
34	1	1
34	1	1
36	1	1
36	1	1
40	1	1
39	1	1
40	1	1
44	1	1
38	1	1
46	1	1
44	1	1
45	45	1
36	1	1
39	1	1
39	1	1
37	1	1
38	1	1
44	1	1
42	1	1
42	1	1
48	1	1
49	1	1
46	1	1
47	1	1
44	1	1
49	1	1
45	1	1
46	1	1
42	1	1
41	1	1
44	1	1
43	1	1
38	1	1
37	1	1
37	1	1
34	1	1
35	1	1
39	1	1
36	1	1
36	1	1
37	1	1
36	1	1
36	1	1
38	1	1
39	1	1
42	1	1
45	1	1
43	1	1
46	1	1
38	1	1
52	1	1
51	1	1
48	1	1
48	1	1
49	1	1
48	1	1
51	1	1
49	1	1
40	1	1
39	1	1
46	1	1
37	1	1
37	1	1
36	1	1
35	1	1
35	1	1
36	1	1
44	1	1
42	1	1
47	1	1
52	1	1
46	1	1
44	1	1
43	1	1
39	1	1
43	1	1
46	1	1
42	1	1
44	1	1
49	1	1
47	1	1
50	1	1
50	1	1
50	1	1
46	1	1
49	1	1
39	1	1
41	1	1
42	1	1
41	1	1
34	1	1
36	1	1
36	1	1
34	1	1
41	1	1
46	1	1
44	1	1
50	1	1
41	1	1
39	1	1
39	1	1
37	1	1
40	1	1
42	1	1
41	1	1
38	1	1
43	1	1
44	1	1
44	1	1
45	1	1
46	1	1
42	1	1
40	1	1
41	1	1
43	1	1
43	1	1
40	1	1
41	1	1
39	1	1
39	1	1
39	1	1
34	1	1
39	1	1
42	1	1
52	1	1
48	1	1
45	1	1
41	1	1
47	1	1
49	1	1
52	1	1
49	1	1
51	1	1
47	1	1
43	1	1
52	1	1
41	1	1
35	1	1
35	1	1
35	1	1
43	1	1
40	1	1
36	1	1
36	1	1
42	1	1
44	1	1
41	1	1
40	1	1
42	1	1
41	1	1
47	1	1
46	1	1
49	1	1
49	1	1
46	1	1
48	1	1
47	1	1
50	1	1
44	1	1
44	1	1
42	1	1
48	1	1
44	1	1
47	1	1
45	1	1
42	1	1
44	1	1
41	1	1
41	1	1
39	1	1
51	1	1
52	1	1
52	1	1
51	1	1
52	1	1
52	1	1
45	1	1
42	1	1
46	1	1
45	1	1
43	1	1
40	1	1
45	1	1
46	1	1
46	1	1
41	1	1
42	1	1
45	1	1
46	1	1
48	1	1
51	1	1
47	1	1
48	1	1
46	2	1
50	1	1
50	1	1
45	1	1
44	1	1
45	1	1
44	1	1
51	1	1
46	1	1
46	1	1
42	1	1
44	1	1
43	1	1
39	1	1
39	1	1
38	1	1
46	1	1
44	1	1
46	1	1
44	1	1
42	1	1
52	1	1
50	1	1
45	1	1
50	1	1
35	1	1
40	1	1
44	1	1
38	1	1
45	1	1
44	1	1
46	1	1
47	1	1
49	1	1
50	1	1
47	1	1
40	1	1
40	1	1
41	1	1
34	1	1
52	1	1
52	1	1
48	1	1
45	1	1
36	1	1
51	1	1
52	1	1
48	1	1
50	1	1
49	1	1
49	1	1
48	1	1
49	1	1
43	1	1
45	1	1
39	1	1
48	1	1
45	2	1
45	1	1
41	1	1
35	1	1
44	1	1
47	1	1
49	1	1
44	1	1
50	1	1
43	1	1
49	1	1
48	1	1
50	1	1
52	1	1
50	1	1
51	1	1
48	1	1
46	1	1
49	1	1
47	1	1
42	1	1
37	1	1
38	1	1
38	1	1
36	1	1
34	1	1
39	1	1
37	1	1
44	1	1
46	1	1
48	1	1
50	1	1
47	1	1
44	1	1
41	1	1
39	1	1
47	1	1
44	1	1
41	1	1
45	1	1
44	1	1
52	1	1
39	1	1
34	1	1
34	1	1
38	1	1
36	1	1
41	1	1
39	1	1
34	1	1
38	1	1
38	1	1
35	1	1
37	1	1
35	1	1
40	1	1
41	1	1
44	1	1
39	1	1
34	1	1
45	1	1
46	1	1
46	1	1
50	1	1
36	1	1
42	1	1
50	1	1
45	1	1
52	1	1
49	1	1
45	1	1
49	1	1
47	1	1
50	1	1
50	1	1
35	1	1
37	1	1
37	1	1
35	1	1
34	1	1
40	1	1
51	1	1
46	1	1
52	1	1
44	1	1
43	1	1
45	1	1
49	1	1
47	1	1
47	1	1
47	1	1
48	1	1
47	1	1
43	1	1
46	1	1
38	1	1
45	1	1
49	1	1
48	1	1
41	1	1
44	1	1
44	1	1
49	1	1
49	1	1
50	1	1
46	1	1
50	1	1
47	1	1
47	1	1
42	1	1
45	1	1
45	1	1
46	1	1
44	1	1
37	1	1
42	1	1
37	1	1
37	1	1
42	1	1
46	1	1
47	1	1
40	1	1
43	1	1
46	1	1
40	1	1
35	1	1
36	1	1
50	1	1
50	1	1
52	1	1
51	1	1
48	1	1
45	1	1
51	1	1
51	1	1
47	1	1
50	1	1
36	1	1
42	1	1
44	1	1
44	1	1
43	1	1
48	1	1
45	1	1
46	1	1
36	1	1
42	1	1
38	1	1
37	1	1
37	1	1
36	1	1
41	1	1
39	1	1
44	1	1
47	1	1
47	1	1
49	1	1
52	1	1
52	1	1
44	1	1
49	1	1
46	1	1
47	1	1
39	1	1
44	1	1
41	1	1
51	1	1
44	1	1
39	1	1
38	1	1
37	1	1
34	1	1
38	1	1
39	1	1
40	1	1
46	1	1
47	1	1
49	1	1
46	1	1
52	1	1
50	1	1
44	1	1
47	1	1
52	1	1
45	1	1
46	1	1
47	1	1
51	1	1
47	1	1
43	1	1
48	1	1
44	1	1
44	1	1
48	1	1
40	1	1
38	1	1
36	1	1
40	1	1
48	1	1
46	1	1
47	1	1
50	1	1
48	1	1
50	1	1
45	1	1
48	1	1
40	1	1
38	1	1
49	1	1
48	1	1
52	1	1
52	1	1
51	1	1
50	1	1
51	1	1
50	1	1
45	1	1
50	1	1
51	1	1
46	1	1
48	1	1
48	1	1
51	1	1
43	1	1
42	1	1
43	1	1
39	1	1
39	1	1
46	1	1
41	1	1
39	1	1
41	1	1
44	1	1
47	1	1
48	1	1
50	1	1
50	1	1
52	1	1
51	1	1
52	1	1
44	1	1
45	1	1
50	1	1
46	1	1
45	1	1
50	1	1
47	1	1
52	1	1
52	1	1
50	1	1
50	1	1
50	1	1
48	1	1
52	1	1
47	1	1
49	1	1
50	1	1
50	1	1
49	1	1
51	1	1
44	1	1
47	1	1
44	1	1
42	1	1
42	1	1
42	1	1
44	1	1
43	1	1
40	1	1
39	1	1
41	1	1
41	1	1
44	1	1
48	1	1
51	1	1
46	1	1
46	1	1
47	1	1
36	1	1
52	1	1
46	1	1
46	1	1
45	1	1
45	1	1
36	1	1
39	1	1
48	1	1
45	1	1
47	1	1
48	1	1
48	1	1
50	1	1
47	1	1
44	1	1
41	1	1
37	1	1
36	1	1
36	1	1
34	1	1
35	1	1
38	1	1
38	1	1
44	1	1
48	1	1
51	1	1
49	1	1
51	1	1
52	1	1
50	1	1
50	1	1
52	1	1
51	1	1
43	1	1
38	1	1
41	1	1
39	1	1
36	1	1
36	1	1
40	1	1
40	1	1
44	1	1
42	1	1
50	1	1
48	1	1
40	1	1
46	1	1
46	1	1
48	1	1
49	1	1
36	1	1
41	1	1
39	1	1
41	1	1
40	1	1
36	1	1
36	1	1
35	1	1
36	1	1
40	1	1
38	1	1
35	1	1
38	1	1
38	1	1
43	1	1
42	1	1
42	1	1
37	1	1
46	1	1
40	1	1
50	1	1
48	1	1
48	1	1
46	1	1
38	1	1
41	1	1
47	1	1
43	1	1
48	1	1
45	1	1
43	1	1
43	1	1
44	1	1
46	1	1
47	1	1
43	1	1
48	1	1
45	1	1
44	1	1
52	1	1
50	1	1
51	1	1
49	1	1
48	1	1
45	1	1
46	1	1
35	1	1
38	1	1
41	1	1
39	1	1
34	1	1
35	1	1
39	1	1
48	1	1
50	1	1
48	1	1
50	1	1
51	1	1
44	1	1
47	1	1
44	1	1
45	1	1
40	1	1
44	1	1
44	1	1
46	1	1
40	1	1
47	1	1
52	1	1
48	1	1
45	1	1
51	1	1
48	1	1
45	1	1
45	1	1
46	1	1
44	1	1
48	1	1
45	1	1
46	1	1
48	1	1
45	1	1
47	1	1
47	1	1
47	1	1
50	1	1
40	1	1
49	1	1
50	1	1
51	1	1
47	1	1
51	1	1
44	1	1
43	1	1
43	1	1
45	1	1
47	1	1
49	1	1
51	1	1
52	1	1
44	1	1
43	1	1
44	1	1
41	1	1
39	1	1
46	1	1
43	1	1
42	1	1
40	1	1
43	1	1
40	1	1
37	1	1
37	1	1
34	1	1
42	1	1
36	1	1
41	1	1
47	1	1
47	1	1
48	1	1
39	1	1
41	1	1
39	1	1
36	1	1
37	1	1
46	1	1
48	1	1
48	1	1
49	1	1
47	1	1
52	1	1
50	1	1
51	1	1
47	1	1
50	1	1
42	1	1
47	1	1
42	1	1
41	1	1
43	1	1
45	1	1
46	1	1
50	1	1
51	1	1
49	1	1
50	1	1
46	1	1
45	1	1
35	1	1
51	1	1
45	1	1
45	1	1
42	1	1
34	1	1
42	1	1
42	1	1
43	1	1
39	1	1
35	1	1
37	1	1
38	1	1
39	1	1
41	1	1
43	1	1
52	1	1
52	1	1
44	1	1
41	1	1
38	1	1
38	1	1
47	1	1
47	1	1
51	1	1
50	1	1
50	1	1
44	1	1
49	1	1
52	1	1
52	1	1
47	1	1
46	1	1
48	1	1
48	1	1
38	1	1
38	1	1
40	1	1
41	1	1
35	1	1
47	1	1
44	1	1
45	1	1
49	1	1
46	1	1
44	1	1
48	1	1
45	1	1
40	1	1
39	1	1
40	1	1
38	1	1
37	1	1
48	1	1
46	1	1
49	1	1
45	1	1
51	1	1
52	1	1
43	1	1
43	1	1
34	1	1
40	1	1
48	1	1
45	1	1
51	1	1
40	1	1
45	1	1
48	1	1
49	1	1
46	1	1
46	1	1
42	1	1
36	1	1
41	1	1
44	1	1
42	1	1
37	1	1
44	1	1
46	1	1
44	1	1
39	1	1
47	1	1
45	1	1
45	1	1
42	1	1
44	1	1
44	1	1
46	1	1
52	1	1
45	1	1
48	1	1
40	1	1
39	1	1
40	1	1
42	1	1
44	1	1
47	1	1
45	1	1
49	1	1
52	1	1
48	1	1
47	1	1
41	1	1
35	1	1
36	1	1
43	1	1
43	1	1
41	1	1
42	1	1
39	1	1
40	1	1
43	1	1
46	1	1
47	1	1
39	1	1
41	1	1
40	1	1
44	1	1
47	1	1
47	1	1
41	1	1
41	1	1
50	1	1
49	1	1
48	1	1
45	1	1
50	1	1
50	1	1
50	1	1
46	1	1
48	1	1
45	2	1
50	1	1
46	1	1
48	1	1
46	1	1
40	1	1
43	1	1
39	2	1
37	1	1
37	1	1
35	1	1
38	1	1
42	1	1
43	1	1
43	1	1
