42	1	1
39	1	1
42	1	1
39	1	1
43	1	1
38	1	1
39	1	1
38	1	1
46	1	1
46	1	1
37	1	1
35	1	1
36	1	1
30	1	1
30	1	1
45	1	1
33	1	1
42	1	1
48	1	1
45	1	1
35	1	1
31	1	1
36	1	1
33	1	1
45	1	1
30	1	1
36	1	1
45	1	1
42	1	1
42	1	1
35	1	1
28	1	1
38	1	1
33	1	1
34	1	1
38	1	1
34	1	1
31	1	1
28	1	1
29	1	1
29	1	1
25	1	1
35	1	1
37	1	1
38	1	1
46	2	1
41	1	1
39	1	1
38	1	1
35	1	1
30	1	1
36	1	1
40	1	1
34	1	1
37	1	1
37	1	1
35	1	1
45	1	1
33	1	1
38	1	1
40	1	1
30	1	1
38	1	1
31	1	1
33	1	1
33	1	1
41	1	1
49	1	1
41	1	1
46	1	1
45	1	1
44	1	1
44	1	1
39	1	1
41	1	1
39	1	1
45	1	1
35	1	1
49	1	1
49	1	1
35	1	1
35	1	1
37	1	1
41	1	1
35	1	1
32	1	1
39	1	1
40	1	1
41	1	1
39	1	1
36	1	1
43	1	1
30	1	1
43	1	1
40	1	1
41	1	1
49	1	1
45	1	1
45	1	1
44	1	1
43	1	1
39	1	1
31	1	1
40	1	1
38	1	1
39	1	1
39	1	1
40	1	1
42	1	1
42	1	1
42	1	1
40	1	1
38	1	1
40	1	1
39	1	1
35	1	1
30	1	1
36	1	1
44	1	1
43	1	1
44	1	1
44	1	1
33	1	1
42	1	1
47	1	1
35	1	1
40	1	1
44	1	1
34	1	1
38	1	1
37	1	1
34	1	1
34	1	1
34	1	1
36	1	1
30	1	1
45	1	1
34	1	1
36	1	1
41	1	1
34	1	1
33	1	1
29	1	1
36	1	1
35	1	1
33	1	1
30	1	1
31	1	1
30	1	1
28	1	1
33	1	1
32	1	1
31	1	1
27	1	1
35	1	1
35	1	1
46	1	1
41	1	1
39	1	1
40	1	1
46	1	1
44	1	1
40	1	1
36	1	1
43	1	1
44	1	1
40	1	1
28	1	1
28	1	1
30	1	1
33	1	1
28	1	1
27	1	1
33	1	1
39	1	1
36	1	1
36	1	1
39	1	1
44	1	1
36	1	1
32	1	1
38	1	1
30	1	1
38	1	1
38	1	1
42	1	1
35	1	1
43	1	1
39	1	1
38	1	1
30	1	1
28	1	1
26	1	1
31	1	1
27	1	1
26	1	1
28	1	1
35	1	1
32	1	1
30	1	1
29	1	1
27	1	1
29	1	1
41	1	1
43	1	1
46	1	1
37	1	1
34	1	1
33	1	1
25	1	1
29	1	1
43	1	1
49	1	1
49	1	1
36	1	1
37	1	1
41	1	1
41	1	1
43	1	1
44	1	1
48	1	1
44	1	1
44	1	1
33	1	1
32	1	1
27	1	1
30	1	1
29	1	1
41	1	1
32	1	1
36	1	1
44	1	1
34	1	1
35	1	1
33	1	1
32	1	1
32	1	1
33	1	1
28	1	1
26	1	1
25	1	1
25	1	1
39	1	1
45	1	1
40	1	1
37	1	1
40	1	1
35	1	1
32	1	1
37	1	1
40	1	1
35	1	1
36	1	1
32	1	1
38	1	1
45	1	1
42	1	1
43	1	1
40	1	1
40	1	1
40	1	1
40	1	1
42	1	1
40	1	1
43	1	1
40	1	1
41	1	1
42	1	1
41	1	1
47	1	1
47	1	1
36	1	1
35	1	1
48	1	1
42	1	1
42	1	1
41	1	1
41	1	1
41	1	1
40	1	1
45	1	1
